date,arrival,seasonality,hong kong casino,shows in macau,singapore to macau,macau airlines,macau on map,tiger airways,cathay pacific,show in macau,macau venetian,galaxy macau hotel,macau grand hotel,macau tauranga,casino in macau,mgm macau,macau ferry terminal,macau restaurant jamaica,macao,map of hong kong,macau food festival,cheap flights,hong kong to macau travel time,venetian hotel macau,macau nightlife,royal hotel,macau ferry schedule,cebu pacific,jetstar,thailand,flights to hong kong,macau food,macau hotel venetian,hotel in macau,flights to macau,hong kong macau ferry,weather in macau,macau restaurant menu,macau weather,wing on travel,china map,macaulay culkin,taboo show macau,dancing water show macau schedule,best food in macau,hotel macau,agoda,macau hotel,hongkong,asia travel,city of dreams macau,hong kong airport to macau,hong kong airport to macau ferry,dancing water macau,macau magic show,china,weather hong kong,macau portuguese restaurant,best food in hong kong,macau china weather,macau gaming lounge & bar,galaxy macau,hong kong ferry to macau,ferry terminal,hong kong light show,travel to macau,macau chinese restaurant,hk to macau ferry,casinos macau,macau tourism,macau shows,indian restaurant in macau,hong kong macau,bangkok,super show 4 macau,hong kong airport,restaurant in macau,macau food festival 2015,macau restaurants,best restaurant in macau,macau water show,china travel,macau travel guide,galaxy casino macau,openrice,hong kong shopping,hongkong weather,good food in macau,hong kong hotel,macau restaurant hong kong,hongkong macau,weather in macau in december,weather forecast,accommodation in macau,cheap flights to macau,venetian macau shopping,agoda macau,hong kong,macau currency,macau shopping festival,iifa awards 2013 full show,hong kong weather forecast,venetian,heart bar macau,galaxy,weather forecast in macau,halal food in hong kong,food in macau,banyan tree macau,macau cheap flights,venetian hotel,macau food blog,macau tourism board,hong kong travel,flights to macau from singapore,mgm,city of dreams,macau tour package,macau travel blog,macau gaming show,the house of dancing water,weather hk,hong kong disneyland,hong kong macau map,macau time,hong kong ferry,air asia,macau weather today,weather singapore,best hotel macau,sands casino,halal food in macau,macau show bar,lisboa casino,hotel lisboa macau,singapore,from hong kong to macau,venetian casino macau,shopping in hong kong,venetian macau casino,shopping in macau,macau food festival 2014,singapore airlines,hong kong tourism,venetian macau,macau shopping mall,macau shopping guide,ferry macau to hong kong airport,hk to macau,macau food guide,hong kong weather,casino lisboa macau,world map,hong kong to macau ferry,macau hotels,macau food festival 2017,air macau,macau things to do,google flights,hotel lisboa,macau china,google map,what to do in macau,wing on travel macau,macau food festival 2012,weather in hong kong,galaxy casino,hongkong tourism,hong kong to macau,wynn casino,macao restaurant,macau city,macau light show,map of macau,macau weather december,house of dancing water,macau airport,hongkong macau ferry,macau restaurant tauranga,ferry to macau,macau hk ferry,travel agency,wynn macau,macau food festival 2016,macau casino,macau island,restaurants in macau,macau ferry,ferry macau hong kong,macau ferry terminal hong kong,hongkong map,macau ferry from hong kong,macau ferry terminal map,ozone bar hong kong,galaxy hotel,iifa awards 2013 macau full show,macau galaxy,macau map,hotel in hong kong,weather forecast hong kong,macau world map,venetian casino,airasia,macau package,hong kong map,grand macau casino,hong kong ferry terminal,macau tower,bali,macau hong kong,macao casino,food festival macau,skyscanner,AGODA,macaulay culkin,Skyscanner,Country
2011-01,3598000,456961.4053,74,88,59,100,14,80,56,31,56,21,67,0,66,74,47,0,58,59,16,100,52,62,61,95,41,82,68,51,100,41,62,80,80,69,57,0,64,43,80,26,0,0,0,72,34,72,44,100,62,37,39,70,42,91,72,58,30,79,0,19,54,34,30,75,34,54,69,92,74,27,75,64,0,89,51,0,49,21,86,87,62,22,56,87,67,0,88,73,62,0,95,84,52,73,42,85,62,37,0,81,93,0,21,24,30,14,5,49,100,43,53,85,72,73,21,45,31,0,69,54,67,55,19,36,32,14,56,97,54,0,72,45,52,84,66,65,73,65,51,0,99,98,56,23,0,39,46,60,72,55,67,54,81,0,89,35,5,75,62,78,25,38,0,77,34,55,59,81,84,32,27,76,8,89,72,50,0,55,70,100,88,0,59,48,29,74,69,34,78,44,56,0,37,0,19,71,83,81,43,100,26,61,71,64,45,65,48,75,76,16,17,13838,2944,2728,HK
2011-02,2923000,-263588.2435,73,65,70,82,52,78,53,54,55,25,62,0,59,79,66,0,55,61,11,93,0,73,67,92,33,92,71,48,90,33,73,80,52,75,73,0,61,47,77,9,0,73,39,67,34,67,45,88,56,55,53,76,0,86,66,41,17,92,0,15,63,34,44,76,47,67,72,70,37,57,77,60,0,78,54,0,49,22,46,82,54,11,58,76,77,0,86,69,59,27,85,29,54,38,32,83,73,39,0,71,93,0,23,56,31,21,4,45,88,0,71,79,25,66,19,65,65,0,68,50,74,76,22,37,32,29,39,78,52,0,0,40,60,80,78,32,65,32,54,0,91,87,55,24,0,53,42,42,66,25,70,63,79,0,74,37,5,84,60,79,81,0,0,76,33,70,61,84,88,34,57,76,8,98,76,64,0,64,64,92,75,0,63,82,31,74,75,56,82,71,51,0,40,0,15,72,88,71,68,87,29,55,72,76,73,64,43,77,46,11,16,14322,2617,2665,HK
2011-03,3187000,-321216.6591,66,84,59,82,41,84,56,49,77,20,76,0,82,80,45,0,62,100,0,90,25,68,85,90,65,81,75,55,85,50,68,74,65,62,74,40,63,49,100,7,0,0,24,75,36,75,47,93,89,58,64,85,0,95,75,37,28,98,0,18,60,39,51,69,21,45,56,84,71,26,77,60,0,85,52,0,51,20,100,97,59,34,57,92,67,42,98,69,58,0,76,27,37,69,40,94,68,0,0,81,89,0,24,73,28,49,12,59,78,41,100,100,34,67,21,75,29,0,87,59,77,96,21,38,29,9,41,68,52,72,0,55,70,85,61,84,88,84,53,0,89,96,77,43,0,64,62,38,75,52,100,60,68,0,84,48,4,87,67,83,40,42,36,84,48,69,58,80,91,38,26,86,8,100,77,78,0,65,53,90,78,0,74,59,37,76,62,48,94,54,33,5,41,0,18,100,100,81,67,80,25,59,100,53,80,54,42,77,61,0,16,17482,2592,3527,HK
2011-04,3358000,-126199.2564,70,71,63,100,79,83,53,52,92,32,59,0,55,100,70,0,65,64,0,84,53,90,85,92,47,81,73,48,74,45,90,73,77,66,72,22,53,45,77,7,0,0,25,79,38,79,48,92,90,62,62,100,0,90,60,49,33,72,0,21,64,48,30,86,80,61,49,86,58,55,83,57,0,86,52,0,49,64,70,100,62,14,61,93,66,0,87,74,77,0,81,57,91,61,51,87,71,0,0,59,90,0,28,24,24,21,38,100,79,0,84,88,60,64,23,66,47,0,100,46,75,81,24,42,28,18,42,73,47,52,0,55,75,88,64,97,88,97,66,0,88,100,92,0,55,62,60,40,60,43,61,64,78,0,79,38,4,94,67,80,50,26,0,74,35,72,69,86,97,43,0,83,8,100,75,63,0,82,59,87,80,0,62,73,35,87,66,60,93,60,35,17,44,0,21,92,90,59,60,97,24,61,72,49,76,67,42,83,44,0,15,16746,2596,3210,HK
2011-05,3230000,-304838.2286,100,50,63,88,60,79,56,73,100,98,79,0,71,99,71,0,58,56,0,85,49,82,76,92,37,71,68,48,82,40,82,100,78,80,60,0,50,56,75,7,0,65,24,93,38,93,47,93,79,72,76,93,0,88,53,55,24,60,0,100,73,51,32,85,53,63,100,77,78,25,91,59,0,79,41,0,41,30,94,90,77,100,62,93,54,41,86,81,74,18,80,79,55,91,49,86,83,0,0,60,92,0,32,22,50,35,100,58,73,41,71,85,56,63,24,45,44,0,61,42,73,83,30,43,32,13,44,79,56,0,0,32,99,89,86,72,87,72,87,0,92,96,100,42,0,76,64,0,53,46,63,73,97,0,87,73,5,87,60,79,46,48,0,59,84,88,73,85,64,45,38,79,8,94,82,77,0,77,50,86,80,0,90,85,41,87,80,100,94,71,46,28,57,0,100,83,89,60,71,80,30,70,71,61,71,63,43,91,62,0,16,18588,2626,3510,HK
2011-06,3035000,-491824.2772,77,34,74,82,48,84,54,75,92,97,68,0,68,95,77,0,58,49,0,92,25,100,100,95,58,71,100,49,88,44,100,81,60,79,63,61,57,68,66,8,0,0,24,93,41,93,47,86,100,66,91,88,0,85,61,47,24,69,0,68,80,56,42,89,21,52,63,81,46,52,90,64,0,86,56,0,79,20,90,87,89,26,69,95,62,0,91,76,84,12,100,27,68,58,45,86,80,36,0,74,95,0,36,11,40,36,96,95,79,83,51,89,69,62,23,51,30,0,57,62,74,66,24,41,29,13,44,87,69,49,0,24,80,89,78,88,95,88,89,0,93,93,92,33,0,91,61,38,61,17,56,80,95,0,83,28,6,89,58,86,47,24,0,58,58,75,67,74,77,47,52,100,8,76,100,98,0,74,51,93,66,0,72,82,42,91,79,69,89,77,60,35,68,0,68,82,88,74,88,90,25,80,63,39,56,77,42,90,47,0,17,20460,2634,3576,HK
2011-07,3839000,259067.8458,85,42,64,81,48,82,55,69,82,92,96,0,74,83,67,0,65,49,0,91,100,94,61,100,40,69,86,52,90,71,94,83,78,66,48,41,44,59,66,9,0,0,48,96,45,96,51,89,77,64,64,71,0,85,49,75,22,91,0,56,60,61,43,100,43,49,82,86,63,26,85,65,0,91,63,0,70,30,74,86,59,34,83,97,55,63,90,63,82,0,96,27,74,58,50,86,100,36,0,62,100,0,40,28,17,75,79,77,81,84,50,84,34,66,22,73,30,27,54,49,71,81,21,42,29,9,35,82,70,49,34,34,88,91,77,88,87,88,93,0,95,93,82,65,0,64,51,38,49,41,56,60,84,0,77,57,6,97,74,94,57,37,0,55,64,82,74,84,50,54,26,91,8,83,73,95,0,76,47,90,88,0,77,74,33,77,66,47,100,79,47,26,72,0,56,95,83,62,57,94,27,100,71,54,65,100,45,85,60,0,18,25497,2819,3884,HK
2011-08,4066000,592309.1494,82,32,75,86,65,74,100,38,80,79,100,0,72,87,90,0,61,50,10,85,24,87,93,91,42,79,85,51,86,57,87,96,75,75,50,58,35,57,64,10,0,0,58,100,47,100,49,91,69,74,64,83,0,89,43,45,25,29,0,45,73,63,56,72,41,47,44,66,84,100,89,65,0,88,67,0,72,68,58,82,94,30,81,97,52,81,94,79,89,12,97,77,53,78,60,88,90,34,0,57,92,0,42,32,43,59,77,79,73,79,90,84,77,63,19,57,28,0,61,33,70,97,26,41,29,8,38,100,66,0,0,43,84,90,74,70,76,70,72,0,93,90,80,73,100,64,46,73,43,100,63,73,92,0,80,41,5,94,64,89,42,18,0,53,50,100,84,66,66,37,0,77,18,83,80,91,0,68,62,85,86,0,73,67,67,83,75,72,95,77,70,41,66,0,45,76,94,57,40,80,25,67,68,89,71,94,46,89,59,10,17,27226,2991,3936,HK
2011-09,3187000,-348625.7375,64,63,76,95,51,69,57,55,73,94,69,0,55,76,78,0,59,53,19,76,70,75,64,82,60,81,85,49,84,48,75,91,72,74,52,19,56,48,71,9,0,0,56,90,44,90,52,83,79,65,64,72,0,89,67,34,37,63,0,46,60,47,28,94,40,65,80,82,93,24,78,63,0,91,52,0,63,0,69,75,91,31,73,100,80,39,97,100,73,17,85,100,57,75,51,87,66,100,0,80,83,0,43,31,21,33,69,66,67,0,74,75,64,55,18,48,55,0,67,66,73,70,23,44,33,16,40,62,50,0,32,66,85,89,67,72,88,72,78,0,90,84,73,60,0,64,80,35,67,38,72,60,100,0,83,45,11,85,65,83,31,17,0,71,48,90,72,67,78,39,24,61,14,86,84,81,0,69,56,80,78,0,79,73,78,90,74,81,86,70,49,26,67,0,46,80,97,80,58,69,32,62,72,100,66,82,43,78,51,19,16,26059,2534,3965,HK
2011-10,3794000,135488.8577,91,44,77,94,36,68,57,61,85,85,64,0,42,77,68,0,63,50,36,72,22,73,63,76,100,84,81,58,80,56,73,82,88,89,58,62,59,60,68,7,0,0,21,77,46,77,53,83,67,83,47,83,0,96,68,57,37,100,0,40,78,41,51,63,94,61,87,91,81,34,83,92,0,93,59,0,72,53,67,75,52,41,72,93,72,37,100,89,74,44,70,59,81,81,55,91,66,63,0,86,87,0,51,60,35,43,58,78,63,36,63,87,60,51,19,64,0,0,61,56,76,55,21,46,31,19,44,78,46,0,30,42,86,85,74,81,86,81,62,0,93,90,85,48,46,47,64,34,68,61,63,78,74,0,79,59,7,71,66,74,77,11,0,89,50,64,72,75,71,36,23,86,20,75,88,100,0,85,100,75,71,0,73,74,74,89,89,62,80,71,47,48,64,0,40,88,91,86,63,67,28,68,74,74,82,79,46,83,55,36,16,25826,2149,4349,HK
