date,arrival,Hong kong,Hong kong dollar,Sheung Wan ,Tai Ping Shan Street,Hong kong central,Hong Kong Disneyland,hong kong dollar to rmb,hkd to usd,Hong Kong cuisine,hong kong food,hong kong yum cha,hong kong best food,hong kong chinese food,hong kong food blog,hong kong hotel,silka hotel hong kong,hotel hong kong kowloon,crowne plaza hong kong kowloon east,Grand Hyatt Hong Kong,airbnb,hong kong accommodation,flights to hong kong,cathay pacific,hong kong to macau travel time,hong kong macau ferry,hong kong airport to macau,hong kong ferry terminal,ferry macau to hong kong airport,hong kong ferry,hongkong macau,hong kong airport,hong kong airport express,hong kong mtr hours,hong kong Transportation ,air asia,Hong Kong Airlines,agoda hong kong,asia travel hong kong,ocean park hong kong,hong kong map,singapore to hong kong,china mainland to hong kong,hong kong light show,skyscanner,ladies market hong kong opening hours,Shopping in Hong Kong,citygate outlet,hong kong shopping festival,hong kong casino,what to do in hong kong,nightlife hong kong,hong kong clubs,lan kwai fong,hong kong weather,occupy central,hongkong customs,hong kong cheap flight,Avenue of Stars,travel Tsim Sha Tsui,hong kong dollar to,hong kong currency,hong kong restaurant,hong kong travel,travel to Hong Kong,hong kong michelin,hong kong hotel central,hong kong hotel central.1,hong kong macao,hong kong asian,Hong Kong television drama,thai to hong kong,macau to hong kong,china hong kong,map hong kong,taiwan hong kong,japan hong kong,korea hong kong,mobile hong kong,eat hong kon,US hong kong,UK hong kong,shopping hong kong,street hong kong,price hong kong,ticket hong kong,train hong kong,bus hong kong,taxi hong kong,holiday hong kong,festival hong kong,hot hong kong,temperature hong kong,bar hong kong,air asia Hong Kong,Yum cha,Hong Kong Convention and Exhibition Centre
2012-01,41182,72,48,27,100,36,50,100,27,27,46,0,38,47,26,58,100,51,100,77,3,22,52,55,100,36,34,44,23,35,68,46,40,100,100,43,86,49,100,41,55,51,100,100,6,100,23,25,100,100,39,100,100,15,50,0,100,30,22,100,27,86,93,68,18,26,11,11,0,64,100,0,34,75,71,83,67,62,43,100,49,67,43,77,54,19,29,55,33,51,81,62,31,45,100,100,46
2012-02,46551,81,48,20,79,27,65,79,19,65,61,0,36,0,50,93,79,65,79,29,3,32,68,62,79,81,45,83,100,59,95,74,100,79,79,28,79,72,79,48,55,58,79,79,6,79,59,0,79,79,75,79,79,13,62,0,79,57,64,79,26,87,80,91,92,25,0,0,30,46,79,37,65,85,69,59,53,33,34,79,100,100,50,75,50,45,37,47,27,41,100,66,21,33,79,79,65
2012-03,67116,90,48,33,96,60,59,96,15,84,56,31,49,0,23,89,96,75,96,54,3,49,67,67,96,64,59,89,20,58,93,69,75,96,96,27,63,40,96,39,61,68,96,96,8,96,60,65,96,96,34,96,96,11,61,0,96,52,59,96,42,72,71,81,37,11,30,30,41,93,96,0,57,91,75,93,64,63,87,96,99,67,49,59,64,46,60,55,17,60,49,12,32,65,96,96,40
2012-04,55119,77,59,29,67,46,54,67,15,38,37,32,51,42,0,87,67,93,67,0,4,30,61,76,67,55,43,40,53,59,62,60,60,67,67,24,100,57,67,41,66,60,67,67,8,67,39,57,67,67,48,67,67,12,48,0,67,55,41,67,54,84,55,98,60,28,0,0,29,73,67,18,43,83,76,64,56,37,72,67,96,61,49,58,48,57,59,50,35,89,40,63,17,68,67,67,0
2012-05,58891,77,54,23,69,40,62,69,17,71,44,31,24,0,68,74,69,64,69,0,7,48,66,77,69,63,82,38,61,43,65,68,68,69,69,26,72,31,69,64,63,54,69,69,9,69,71,54,69,69,34,69,69,9,31,0,69,52,48,69,42,77,86,91,42,22,49,49,81,51,69,17,48,79,72,67,48,51,74,69,77,58,63,72,50,37,70,47,25,63,48,30,16,68,69,69,40
2012-06,72449,74,28,29,68,58,55,68,17,49,62,0,34,83,47,72,68,66,68,55,7,0,58,70,68,75,48,13,63,41,89,60,18,68,68,22,63,64,68,44,56,66,68,68,9,68,61,67,68,68,41,68,68,13,34,0,68,27,100,68,24,74,88,88,54,35,40,40,28,43,68,18,45,58,68,77,44,39,51,68,72,34,83,65,64,30,23,51,38,71,39,68,10,57,68,68,41
2012-07,51450,76,48,27,72,51,49,72,17,46,46,74,16,0,0,69,72,95,72,77,5,46,65,68,72,45,40,60,39,57,52,49,60,72,72,23,66,44,72,49,47,61,72,72,11,72,38,42,72,72,22,72,72,10,44,0,72,75,56,72,45,64,70,82,60,29,28,28,26,62,72,16,68,68,50,75,51,68,60,72,20,40,66,61,51,20,32,46,48,48,52,58,6,54,72,72,38
2012-08,50666,77,31,39,72,61,49,72,15,34,36,29,38,0,0,70,72,41,72,62,6,55,66,76,72,64,17,23,39,36,51,54,42,72,72,22,59,37,72,57,60,51,72,72,10,72,37,0,72,72,48,72,72,20,42,0,72,57,91,72,27,85,64,90,53,42,54,54,0,70,72,32,31,96,61,88,79,33,93,72,33,69,62,57,67,50,40,53,31,64,56,56,15,85,72,72,56
2012-09,49715,78,44,53,55,57,80,55,21,46,46,59,23,39,22,78,55,47,55,64,6,46,90,68,55,30,28,24,39,41,52,53,49,55,55,24,77,38,55,44,70,67,55,55,10,55,62,21,55,55,60,55,55,27,27,0,55,25,19,55,40,71,81,61,35,25,28,28,39,66,55,16,49,73,65,87,61,47,65,55,40,79,51,54,75,28,38,61,40,69,72,63,20,58,55,55,0
2012-10,55988,85,53,78,54,61,86,54,18,21,41,0,79,71,40,84,54,57,54,59,8,51,86,67,54,60,68,100,54,100,86,63,61,54,54,26,70,70,54,69,79,72,54,54,12,54,65,67,54,54,20,54,54,18,58,0,54,61,60,54,41,75,81,78,74,49,35,35,36,53,54,30,52,73,74,87,45,93,65,54,37,59,66,41,65,48,37,54,36,92,71,79,41,45,54,54,53
