date,arrival,Hong kong,Hong kong dollar,Sheung Wan ,Tai Ping Shan Street,Hong kong central,Hong Kong Disneyland,hong kong dollar to rmb,hkd to usd,Hong Kong cuisine,hong kong food,hong kong yum cha,hong kong best food,hong kong chinese food,hong kong food blog,hong kong hotel,silka hotel hong kong,hotel hong kong kowloon,crowne plaza hong kong kowloon east,Grand Hyatt Hong Kong,airbnb,hong kong accommodation,flights to hong kong,cathay pacific,hong kong to macau travel time,hong kong macau ferry,hong kong airport to macau,hong kong ferry terminal,ferry macau to hong kong airport,hong kong ferry,hongkong macau,hong kong airport,hong kong airport express,hong kong mtr hours,hong kong Transportation ,air asia,Hong Kong Airlines,agoda hong kong,asia travel hong kong,ocean park hong kong,hong kong map,singapore to hong kong,china mainland to hong kong,hong kong light show,skyscanner,ladies market hong kong opening hours,Shopping in Hong Kong,citygate outlet,hong kong shopping festival,hong kong casino,what to do in hong kong,nightlife hong kong,hong kong clubs,lan kwai fong,hong kong weather,occupy central,hongkong customs,hong kong cheap flight,Avenue of Stars,travel Tsim Sha Tsui,hong kong dollar to,hong kong currency,hong kong restaurant,hong kong travel,travel to Hong Kong,hong kong michelin,hong kong hotel central,hong kong hotel central.1,hong kong macao,hong kong asian,Hong Kong television drama,thai to hong kong,macau to hong kong,china hong kong,map hong kong,taiwan hong kong,japan hong kong,korea hong kong,mobile hong kong,eat hong kon,US hong kong,UK hong kong,shopping hong kong,street hong kong,price hong kong,ticket hong kong,train hong kong,bus hong kong,taxi hong kong,holiday hong kong,festival hong kong,hot hong kong,temperature hong kong,bar hong kong,air asia Hong Kong,Yum cha,Hong Kong Convention and Exhibition Centre
2012-01,26986,78,35,17,65,45,54,65,12,65,37,0,65,65,22,65,22,50,22,75,1,22,63,63,22,40,22,22,22,49,80,52,20,22,22,100,22,30,22,28,53,75,22,22,8,22,22,25,22,22,73,22,22,23,67,0,22,22,40,22,28,21,28,50,24,85,32,32,32,32,22,48,12,41,53,57,42,71,70,22,29,67,100,32,65,57,66,32,32,47,0,39,38,0,45,22,22
2012-02,37395,83,35,100,78,22,70,78,6,78,46,0,78,78,22,78,22,81,22,100,1,22,63,66,22,60,22,22,22,56,35,67,59,22,22,99,38,31,22,28,47,19,22,22,8,22,22,25,22,22,0,22,22,13,79,0,22,22,40,22,14,83,33,56,24,0,0,0,32,42,22,48,23,29,47,14,42,0,35,22,39,67,66,31,35,0,65,42,32,64,89,51,38,24,89,22,22
2012-03,48197,89,44,16,89,42,68,89,23,89,61,0,89,89,21,89,21,77,21,47,3,21,37,86,21,85,21,21,21,66,100,67,25,21,21,88,42,75,21,65,63,36,21,21,10,21,21,16,21,21,0,21,21,4,65,0,21,21,38,21,27,20,52,89,34,27,60,60,30,40,21,53,67,77,63,40,59,33,33,21,72,24,75,90,58,67,62,40,0,89,57,24,24,46,56,21,21
2012-04,52631,88,30,0,85,40,40,85,6,85,38,0,85,85,0,85,0,77,0,51,3,0,32,83,0,31,0,0,0,58,67,39,27,0,0,68,38,44,0,57,46,59,0,0,9,0,0,34,0,0,0,0,0,58,61,0,0,0,41,0,36,43,51,51,24,29,32,32,65,76,0,57,24,96,45,44,0,72,36,0,29,60,82,65,60,43,56,11,33,66,31,66,52,25,46,0,0
2012-05,41246,85,49,31,86,57,75,86,0,86,26,0,86,86,21,86,21,64,21,0,5,21,37,75,21,46,21,21,21,46,42,45,24,21,21,66,38,51,21,26,75,35,21,21,8,21,21,16,21,21,34,21,21,85,37,0,21,21,37,21,46,39,26,100,100,26,0,0,30,20,21,90,33,50,75,13,29,100,33,21,45,39,56,45,50,67,41,30,89,44,56,24,36,57,70,21,21
2012-06,36228,83,43,31,86,36,38,86,11,86,51,0,86,86,0,86,0,34,0,46,2,0,51,69,0,46,0,0,0,32,51,21,30,0,0,46,32,73,0,26,61,0,0,0,6,0,0,46,0,0,33,0,0,96,40,0,0,0,0,0,20,38,60,80,22,39,29,29,0,58,0,58,43,64,61,26,47,65,64,0,35,76,73,58,57,26,100,29,58,70,55,47,0,45,14,0,0
2012-07,40799,93,50,28,81,43,48,81,16,81,31,0,81,81,0,81,0,59,0,43,4,0,81,70,0,34,0,0,0,60,64,77,56,0,0,56,43,84,0,24,50,65,0,0,9,0,0,29,0,0,0,0,0,67,77,0,0,0,0,0,30,36,84,69,20,48,81,81,27,63,0,34,20,65,49,36,53,60,30,0,33,43,68,40,48,61,37,36,81,70,25,43,0,62,51,0,0
2012-08,41467,86,30,21,75,43,43,75,16,75,55,0,75,75,0,75,0,37,0,43,2,0,54,68,0,51,0,0,0,60,69,45,28,0,0,51,39,58,0,0,62,16,0,0,10,0,0,57,0,0,0,0,0,43,53,0,0,0,34,0,30,44,84,48,0,0,40,40,27,36,0,14,50,35,61,96,17,60,30,0,24,42,68,67,50,24,55,27,40,45,0,33,22,72,13,0,0
2012-09,28746,91,39,42,87,47,77,87,21,87,39,0,87,87,0,87,0,68,0,42,2,0,46,73,0,33,0,0,0,100,42,47,22,0,0,59,41,77,0,47,60,0,0,0,8,0,0,14,0,0,30,0,0,33,38,0,0,0,34,0,24,35,69,62,59,0,53,53,26,62,0,40,20,58,60,35,52,44,59,0,24,42,66,33,52,12,91,35,26,88,100,21,21,40,25,0,0
2012-10,47090,98,64,58,93,96,82,93,24,93,43,0,93,93,0,93,0,63,0,0,5,0,68,73,0,78,0,0,0,44,28,56,51,0,0,59,28,48,0,22,63,44,0,0,10,0,0,33,0,0,28,0,0,36,53,0,0,0,47,0,44,57,65,83,0,44,50,50,100,58,0,50,28,37,63,44,65,55,69,0,30,52,36,43,53,100,51,66,25,78,70,20,60,76,35,0,0
