Hotel,https://www.tripadvisor.com/ShowUserReviewsg154235d3508178r402035548OneXalapaLasAnimasXalapaCentralMexicoandGulfCoast.html,Date of stay: August 2016,One Xalapa Las Animas,Mexico,Central Mexico and Gulf Coast,Veracruz,"Jeffersonville, Indiana",Very racial people,If you are   From the United States they do not like you I came through The lobby to go to my room one night they made racial remarks will not stay here anymore The room was nice and clean the maid came every day when I got back the room was nice but the people at the front desk some of them very very rude.
Hotel,https://www.tripadvisor.com/ShowUserReviewsg293980d320111r272901346IsrotelRivieraClubHotelEilatSouthernDistrict.html,Date of stay: May 2015,Isrotel Riviera Club Hotel,Middle East,Israel,Southern District,unknown,MOST HORRIBLE EXPERIENCE OF RACIAL PROFILING!!! MAY 2015,"EDIA PULLER, LLYANA PULLER DO NOT COME TO THE ISROTEL RIVIERA CLUB HOTEL 8N EILAT if you want a family vacation and you are a person of color. I am a single mother  and for the first time in 9 years we I had a chance to reunite with my children for a few days in Eilat at the Isrotel Riviera Club hotel. All of my daughters live in a different country from me. Were 4 people in a room. We also have friends and relatives that live in Eilat. In addition my daughters' suitcase never arrived So other people had to provide her with her daily requirements. From the moment we arrived the security staff hounded us and aggressively verbally confronted us everytime we exited or entered the hotel. Never once did they try to have a respectful conversation with us about whatever it was they were having an attitude about. When in turn we confronted the security staff about their behavior and blatent racial profiling their comment was...""well no we dont check everyone"". And in these times of extreme racial tension in Israel you would think a hotel like ISROTEL that deals with international clientel would require a little more proffesionalism and manners from their staff."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg850584d503291r595964058MantraBellCityPrestonDarebinGreaterMelbourneVictoria.html,Date of stay: July 2018,Mantra Bell City,South Pacific,Australia,Victoria,"Taipei, Taiwan","Bad room service, and bad hotel with racial discrimination","We joined the tour group and stayed at the hotel three days. The room was big enough, but the service was quite bad.For example, I need to take care of the children,     I have to take two large bath towels to the counter twice, but I have never sent them... The children can only take a bath with a wet towel. This is not a ""hotel"" service at all, it is too bad. Thank this hotel give me such a terrible birthday.Second day its worse. I told the reserve the situation above, they told me they will give me towels this night, but when I back my room, not only did I not give me the towel I wanted, the room was not cleaned, the bed was not laid, the ground was not clear, and I didnt even notice the tip we put.I will never come back later, and I don't recommend any friends to come back......."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg850584d503291r581106182MantraBellCityPrestonDarebinGreaterMelbourneVictoria.html,Date of stay: May 2018,Mantra Bell City,South Pacific,Australia,Victoria,unknown,Racial segregation at breakfast,Verrrry unimpressed with the racial discrimination we all paid the same why should the chinese people get a wider variety and be racially segregated from the rest of us. Please contact me for an apology and refund immediately.
Hotel,https://www.tripadvisor.com/ShowUserReviewsg850584d503291r230606845MantraBellCityPrestonDarebinGreaterMelbourneVictoria.html,Date of stay: September 2014,Mantra Bell City,South Pacific,Australia,Victoria,"Sydney, New South Wales, Australia",Rydges 2014,Very nice clean lovely hotel . Concierge was a very nice man Nathan friendly always smiling going that extra mile with customer service. I found some of the staff very rude and difficult .Buffet breakfast  was nice but the selection was very average .I found some of the staff making racial comments at my family because I asked if the sausages were Halal it made me feel very unwelcome this was at the Chill restaurant .. Location and hotel facilities are very nice From a 4 half star property I expected better customer service I feel  Rydges bell st still has to mature
Hotel,https://www.tripadvisor.com/ShowUserReviewsg55129d105721r531015931HamptonInnJohnsonCityJohnsonCityTennessee.html,Date of stay: October 2017,Hampton Inn Johnson City,United States,Tennessee TN,Johnson City,"Johnson City, Tennessee",Racial Profiling by Front Desk,"We've been members of Hilton Honors 25 yrs. before other hotels/companies even started rewarding their customers.  I reference that to say that I have never been so upset by how this hotel racially profile customers.  While concentrating at the computer working on a business proposal at 6:00 AM Saturday,  the front desk clerk asked was I guest with them I answered yes, a few minutes passed and he then asked what's my room number  I responded, my wife checked us in because I wash't sure of the room number.  He then perceeded with additional questions and by this time I was being harassed and this was racial profiling at Hampton Inn!  He never asked anyone else in the lobby if they were guest with them as I worked for another two hours.  Until hotel racial profiling happens to you,  you won't recognize it!  He did say that he was just doing his Job! Wow!!!"
Hotel,https://www.tripadvisor.com/ShowUserReviewsg34548d7714533r632978309FairfieldInnSuitesFortLauderdalePembrokePinesPembrokePinesBrowardCounty.html,Date of stay: October 2018,Fairfield Inn  Suites Fort Lauderdale Pembroke Pines,United States,Florida FL,Broward County,"Fort Lauderdale, Florida",Bigotry and racial bias negates any positives,"The last time I stayed at this property will definitely be my last. During that stay, I encountered the blatant bigotry and racial bias that seems to be commonplace at Marriott properties in the South. I requested as always, a top floor room as is saved in my member profile. As a Platinum Premium Elite Member, this should not be a problem. The Hispanic front desk female attendant tells me that the top floor was under repair and not being used, which I later learn was a blatant lie. When the room above me was assigned to a family three days later with children running around the room, I confronted the attendant. When I voice my displeasure with her having lied and that I was leaving, she canceled my reservation. Moreover, Marriott did not credit me with the reward points for my stay. I called Marriott customer service and received the same indifference, which leads me to believe its a corporate culture issue. The mold and mildew smell that permeates the property in South Florida is enough of a reason for me to never return given my Asthma. But the blatant bigotry and racial bias sealed it."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg297435d1158657r352731156GloryGrandHotelZhengzhouHenan.html,Date of stay: March 2016,Glory Grand Hotel,Asia,China,Henan,"Guangzhou, China",Racial segregation,"This hotel applies racial segregation against non cinese citizens. Chinese citizens can enjoy the whole range of accommodations while foreigners are only allowed to stay in largely overpriced rooms, badly contaminated of cigarette smoke, with extremely poor internet connection. If you really have no other options then I strongly suggest you consider spending the night in some club and give up the accommodation."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg32786d6612835r653660144FairfieldInnSuitesRiversideCoronaNorcoNorcoCalifornia.html,Date of stay: February 2019,Fairfield Inn  Suites Riverside Corona/Norco,United States,California CA,Norco,"Ontario, California",Uspicious front desk agent Orion called the police on me for NO REASON I believe this hotel practices racial profiling.,"When you book a reservation and you intend to stay at a hotel you expect for the staff to be warm, friendly, and happy to see you walk through the door. When the front desk agent saw me walk through the door I knew right away he was not happy to see me. He looked at me as if I had dirt on me. When I tried to book my reservation he seem uncomfortable reserving the room for me. And made up a bogus reason why he would not except the rate which was discounted online. He simply said that because I didnt have a specific government ID the special corporate rate would not be honored.  When I advised him that I would be going online to book again and find a new rate and would  call customer service to see if they could assist Orion gave me a dirty look. Then the next minute I know customer service on the other line threaten to call the cops on me because I simple made a complaint. I have strong reason to believe this hotel practices racial profiling."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg43285d78625r122950283ManhattanBeachLodgeManhattanBeachMinnesota.html,Date of stay: January 2012,Manhattan Beach Lodge,United States,Minnesota MN,Manhattan Beach,Twin Cities,Racial ignorance!!!,"My boyfriend surprised me with a trip to Manhattan Beach Lodge for our twoyear anniversary.  I was thrilled and couldnt wait for a winter wonderland weekend.  Sadly Mother Nature didnt play into the fun seeing as there has been no snow here in Minnesota all through December and into January, but the trip was already booked, so we headed up there this past weekend.  What a thoughtprovoking experience, the lodge claimed that we would have a fireplace king suite except for the fact that the fireplace didnt work! The rooms temperature was horrible! We could never get the room at a comfortable level because the gauge to the thermostat was also broken.  In addition we were on the lower level which is fine if it hadnt been right directly in front of the stairs so throughout the stay we could hear people coming and going.  Also, there werent that many guests present so how ironic that we happened to get a family directly placed above us.  The insulation needs to be updated because every time someone walked around upstairs it was very disturbing because you felt like they were going to fall through and that made it difficult to rest peacefully.  Likewise, we were quite astonished with the service at the restaurant attached to the lodge.  We had been given a voucher for dinner during checkin and decided to use it that following night.  The service was ok, we enjoyed the food and tipped our waitress at 30 mind you but once she collected her earnings we were useless to her.  She never returned to our table to check up  see if we needed anything else additionally or even gave us a thank you for our generous tip.  Regardless, because the food was so wonderful we thought we would try eating there the next night.  Wrong idea! Once we arrived we were disregarded almost immediately by Doreen Gallawaythe head of the wait staff.  She tried to make a scene but we read her energy as soon as we stepped in the door and by that I tell you, she made it quite clear blacks were unwelcome.  That woman needs a lesson in racial competence, she was extremely rude and clearly based on our interaction with her, has serious issues with cultural acceptance; Looking down on us because we were a biracial couple as well of the fact that Im a woman of color.  She also tried embarrassing us in front of everyone by making a scene because we had a preference of where we wanted to sit for dinner and started berating her waitress right in front of usunprofessional, quite unnecessary and classless is how I would some up her personality.  Funny some people are still so ignorant, Doreen Gallaway is an illustration of someone who sees color vividly and anyone with differences should be looked down upon and less than because they arent white.  For that reason alone I would give this lodge a poor rating because if they are willing to staff individuals who have serious identity issues and discriminate their guests based on their racial or cultural backgrounds, I think that shows the integrity of this establishment.  Needless to say, we will not be visiting that location again and if youre expecting a romantic getaway and youre a person of color, or in a biracial relationship, be prepared to be mistreated and disregarded by lowgrade, uneducated, country bumpkins who havent realized that its 2012 and times have changed."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg34439d1811881r655033026LeslieHotelMiamiBeachFlorida.html,Date of stay: February 2019,Leslie Hotel,United States,Florida FL,Miami Beach,"Fullerton, California",UNPROFESSIONAL and RACIST HOTEL,"The worst hotel and overall experience! This hotel and its executive staff is RACIST and not hospitable. It's crazy to me esp having worked within hospitality that this property is unprofessional and plain do not care for their hotel guest. We had an incident where one of our party was injured on their property  simply trying to sit on a bench that was in there base floor lobby. To describe our friend  FAT ORIENTAL WOMAN  is not only racist but beyond acceptable esp. in 2019! To treat us as if we are not only hotel guest but to describe us in racial matter is beyond me. Not only is the picture attached describe the incident but everything about this hotel  from charges to smallest to biggest, taking towels from our rooms to refill in other hotel guest rook disgusting and unfriendliness of the general manager / front desk makes me never want to return to South Beach ever again. We chose to stay here to celebrate our dear friend's 40th for couple days. Everyone flew in from across the West and East just so that we can stay across the beautiful South Beach but we chose WRONG hotel. Pleasw DO NOT STAY HERE! WE have reached out the their three owners and we have yet to receive ANY response even with our friend who sought out to see a doctor. This hotel is negligent and simply UNPROFESSIONAL and RACIST HOTEL."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg499081d1591244r553098630SerenePavilionsWadduwaWesternProvince.html,Date of stay: November 2017,Serene Pavilions,Asia,Sri Lanka,Western Province,"Colombo, Sri Lanka",Racial remarks by Owner,"We were spending one night of our Honeymoon at this Resort. And it was   utterly disappointing not because of any facility, but the Racial remarks and attitude of the Management. Property seems right for Honeymooners since of the deserted atmosphere, and there were no guest except us, food was  good and we enjoyed the mini pool. But the check in was not comfortable enough as the foreign owner giving half hour  lecture at arrival when we really wanted to get in to our room and relax , and made two racial comments  on us  Dark Couples  and   Sri Lankans are not punctual  I have a feeling that the Villa which they allocate us was not available so she took time talking to us to delay our check in, but our arrival was after 3,00 pm. so we expect a fast check in . Nevertheless we never wanted to make an Issue as that was our Honeymoon and not to upset our self.  At mid night around 12.30 pm we got hungry and went to the Front desk, at check in we were assured that front is 24 hours operational, since there was no internal phone connection working out of order, we were forced to walk towards the front and to our surprise there was no one at the desk, when we look around we found a staff member a thin tall guy in dark blue uniformed sleeping in a couch. We got scared and walked away. We never wanted to comment about this to the check out Clark but thought of sharing on trip advisor, so the Couples who are going to spend the honeymoon knows what they would get at this place   "
Hotel,https://www.tripadvisor.com/ShowUserReviewsg187895d232968r618736144HotelBoccaccioFlorenceTuscany.html,Date of stay: September 2018,Hotel Boccaccio,Europe,Italy,Tuscany,unknown,Hotel Boccaccio is very rude and racial discrimination.,"The receptionist of Hotel Boccaccio is very rude and racial discrimination. Today I paid 15 euros to store my luggages in the Hotel Boccaccio. When I went back to collect my luggages, the receptionist stopped me because I didn't have the receipt in hand. The receipt was in my friend's hand at the time. I made a request to wait in the lobby because it's really hot, nearly 35 degree. The receptionist yelled at me said 'this is my house. Get out of here, or I will call police!' I was shocked and scared to go out to wait my friend. He followed behind me to the door and yelled again 'you cannot stand in front of my house. Get away from the door'. He left until I used my phone to film him. His behaviour is too rude and racial discrimination to a customer. Is it right to carry out personal attacks all the time as a receotionist of hotel As an employee, lieing this is his home and wanting me to go away. Is this service behaviour a hotel should have I appeal to all consumers to carefully consider the quality and service of this hotel."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg60745d8145467r576255645ElementBostonSeaportDistrictBostonMassachusetts.html,Date of stay: April 2018,Element Boston Seaport District,United States,Massachusetts MA,Boston,"Atlanta, Georgia",Racial profiling,"Hello,I stayed one night at this hotel April 26th on business and I definitely enjoyed the location and design.  My company has an HQ in Boston  GE.The night of the 26th after a dinner with drinks afterward, I arrived back at the hotel around 1am.  I entered the hotel and sat down in the lobby to check a few things on my phone, in addition to watching some tv.The gentleman on duty the night of 4/26/18 came over and asked me if I was ok.  He then proceeded to ask me are you even a guest of the hotel!.  It's safe to say I was a bit taken back by this statement...At the time that I arrived, you had to have an active room key in order to gain access to the hotel, in the first place.As a person of color, I quite honestly felt a bit of racial profiling. Being a loyal Marriott/SPG lifetime platinum member who travels worldwide, I must say that I am VERY appalled.  Your staff truly needs training in this respect, and I honestly am completely turned off by your hotel.  Any thoughts or feedback in regard to this matter would be greatly appreciated.Not to mention, any concessions would be highly appreciated.Thanks.Albert W."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg187147d596306r620387914LeMarceauBastilleHotelParisIledeFrance.html,Date of stay: September 2018,Le Marceau Bastille Hotel,Europe,France,IledeFrance,unknown,racial discrimination ,"1 Very small room and dirty  !!  , , 2 racial discrimination 3  not real welcome Asia 4 Hair dry do not work 5  as they do not clear well, so they Spraying a lot of fragrant spray to cover it  . it very bad for the guess's body, triggering asthma ,  ,  you can see the window are also very dirty !! , Even water do not provide in this , most of the four stars hotels will provide Bottled water . but not in this hotels  don't have any expect . open the window , also Rubbish in front on you , please see the phot , then you more understand , why don't stay here !!Do not affect your holiday mood ,  !!They even used the lobby to be a show gallery , it seem good .  However they are used the lobby also to reserved the breakfast. So you need very be careful , as they will have chance to charge you Euro 4000 per each paint."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg226869d7277999r620041569NomadHotelParisRoissyCDGAirportLeMesnilAmelotSeineetMarneIledeFran.html,Date of stay: September 2018,Nomad Hotel Paris Roissy CDG Airport,Europe,France,IledeFrance,"Jakarta, Indonesia",A Racial Experience,"I had an experience here that was pure racial discrimination. I arrived at the Nomad hotel around 2.30 PM yesterday and was told by the receptionist that check in was at 4 PM and that no rooms were available yet. I walked to a seat to wait, letting the Caucasian couple behind me have their turn at the counter. The couple had also just arrived from the airport with all their bags. I expected them to be told to wait as I had been, but instead, I watched as they were checked in and given a key by the same receptionist. I was stunned. I went up to the receptionist and asked why the couple had been given a room immediately if check in was at 4 PM and there were no rooms available just minutes ago. She coldly said that they requested for an early check in during booking. Did they really I told her to check my booking again because I had also requested the same during booking. She had no response. Racists usually dont. For the record, Im an Asian female who was traveling solo. I speak English fluently, have clean hair, and was traveling light. I had just gotten off 20 hours of travel so it wasnt a pleasant ordeal to have to fight for equal treatment at your hotel. Racism is exhausting. Five minutes after I confronted your receptionist, she magically came up with an available room. No apologies. Later on in my room, I looked up your website and discovered something more appalling. Your hotel check in time is at 2 PM. Not 4 PM. Another person on your staff confirmed it for me too. The discrimination was obvious. I wont go into how this incident made me feel, but Im sure your goal as a hotel isnt to make guests feel unwelcome and secondrate. While I hesitate to blame an entire hotel for the action of one employee, there was at least one other employee who was aware of what was happening and heard as I was told that check in was at 4 PM. Racism never makes sense, but its unbelievable that anyone would think a paying Asian guest isnt good enough for equal treatment at a nofrills, airport hotel. So for the benefit of anyone considering your property, I would appreciate a response here explaining your policies and procedures  if any  against discrimination and intolerance. I stayed at the Nomad hotel out of necessity for transit, but even for necessity, I do not recommend it unless your policies clearly protect against discrimination by anyone yes, including customers at your properties."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg42354d1477345r652853707BestWesternPlusKalamazooSuitesKalamazooKalamazooCountyMichigan.html,Date of stay: February 2019,Best Western Plus Kalamazoo Suites,United States,Michigan MI,Kalamazoo County,unknown,Racial Profiling,"We checked in this afternoon at Best Western Plus Kalamazoo Suites in Kalamazoo, MI and experienced racial profiling. When my wife went to the desk to check the person working at the front desk repeatedly asked her  how many people will be in the room. She politely told him 4, 2 adults 2 children . He proceeded to require her to sign a no party waiver before he would allow her to complete the check process. He told her that was standard practice. She complied with signing it and completed the check in process. Once I parked the car and came in I needed to stop at the desk. While I was waiting I witnessed 2 white men check into 2 different rooms and he never asked either of them how many people nor did he require them to sign a waiver. He only asked each of them  how many keys they needed. Later theis evening while talking with some others that traveled with us we made a disturbing discovery. All the black people that checked in were repeatedly asked how many people will be staying in their rooms. They all were required to sign this no party waiver. All the white people in our party that checked in were simply asked how many keys "
Hotel,https://www.tripadvisor.com/ShowUserReviewsg58313d122939r642080261WilliamsburgInnWilliamsburgVirginia.html,Date of stay: December 2018,Williamsburg Inn,United States,Virginia VA,Williamsburg,"Boston, Massachusetts","Gorgeous, with a concerning racial divide","Arriving at the Williamsburg Inn when it is decorated for the holidays was stunning  lovely, and a real ""wow."" The staff was welcoming, the room spacious, and the hotel, wonderfully themed for the area. The visit would have been a perfect 10, but for the racial division of the staff that was seen throughout the weekend. My 15year old niece commented on it being a current day ""Get Out,"" with AfricanAmerican staff in housekeeping, bartending, and bell positions, and white staff serving in concierge, checkin, shop and officiant roles. This division diminished our experience, outside of the event that brought us to the hotel. The service was outstanding, but I cannot recommend it as ""excellent"" without understanding why there was such a racial divide."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg187278d233954r641630533LeonardoRoyalHotelBadenBadenBadenBadenBadenWurttemberg.html,Date of stay: December 2018,Leonardo Royal Hotel BadenBaden,Europe,Germany,BadenWurttemberg,"Palo Alto, California",Racial discrimination ,"I am having a hard time understanding why this hotel could have so many positive reviews.   I am an Asian American and I was the only Asian I could see that day staying at this hotel.  I noticed instantly that the staff treat the German speakers way more friendly than me.   Not only with a bad attitude, they put me in a single tiny room despite I clearly booked a double room with a double bed via Expedia.   I called Expedia twice and they confirmed that I did book a room with a double bed but the staff and manager insisted that I had booked a single room.   It took me more than an hour communicating to them and Expedia back and forth and finally they reluctantly agreed to put me in a double room, which I had originally reserved.   The manager seemed surprised hearing me speak to Expedia on the phone in perfect English and that I live in America, and it was clear to me that was the reason why they changed their mind.   So, for non German speakers, especially Asians, please do take the racial profiling and discrimination into consideration if you are considering this hotel.    I will NEVER stay here again. Location wise, this hotel is very far way from the two center where all the restaurants and places of interest are located.   It was very inconvenient.  The so called black forest view is a joke.  The view was not good at all.  Very average and not worth of being so far away from the town center.  There are plenty of good hotel choices in the town center.  I would highly recommend against staying a this hotel.  "
Hotel,https://www.tripadvisor.com/ShowUserReviewsg303908d610796r608701519PhiPhiHotelKoPhiPhiDonKrabiProvince.html,Date of stay: August 2018,Phi Phi Hotel,Asia,Thailand,Krabi Province,unknown,The receptionist hurt us with racial discrimination.,"I ate lunch at this hotel.When we ate lunch, we heard that we can use pool, we made a mistake.When my daughter was playing in the pool, the reception desk hurt us with words.The receptionist hurt us with racial discrimination.550B"
Hotel,https://www.tripadvisor.com/ShowUserReviewsg303631d299821r658222054RenaissanceSaoPauloHotelSaoPauloStateofSaoPaulo.html,Date of stay: March 2019,Renaissance Sao Paulo Hotel,South America,Brazil,State of Sao Paulo SP,"Los Angeles, California",Racial Profiling  Fake Exchange Rate Used,"I have been a coming back to this hotel since mid2000's when in Sao Paulo I often also stay at the InterContinental close by and sometimes at other international hotels in Morumbi.Do like the location of the hotel right in the Jardins but service is going downhill and I am getting tired of the FX scam that the hotel uses to convert the USD rate to BRL.If you or any other guest in your party is darker skinned, be prepared to be harassed by the hotel ""security"". This is absolutely disgusting racial profiling and discrimination by the hotel.Most of the hotels in Brazil have moved to display their prices in BRL used to be USD and Renaissance Sao Paulo is one of the few holdouts Hilton, InterContinental, Grand Hyatt and Sheraton hotels in Sao Paulo all price their rooms in BRL.Hotel uses extremely unfavorable cash exchange rate that is off by 4 to 5 to convert this USD rate to BRL. Why don't just charge higher rate in the first place rather than scamming your guests like thisIt is deplorable that Marriott allows hotel to participate behaviour like this."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg32655d77874r631947796TheWestinBonaventureHotelSuitesLosAngelesLosAngelesCalifornia.html,Date of stay: November 2018,"The Westin Bonaventure Hotel  Suites, Los Angeles",United States,California CA,Los Angeles,unknown,Horrible customer relations  racial profiling,"The overall experience was that of any other Westin visit until I needed to take a walk around the building to clear my head due to the pressures of my profession interrupting a family trip. I was approached by a man by the name of David Cox, a Hispanic man in his mid 20s early 30s on November 8th initially he politely asked if I needed any assistance where I replied ""no I do not, thank you"" when I continued to walk around the premises among a good percentage of the other visitors as their was some sort of banquet taking place on the lower levels David once again approached me when I found a spot to sit near the restaurants where there were complementary couches for what I could only gather were for business where he then aid I would have to leave the establishment. At this point I could only grow agitated however keeping my composure as I had a conference call to discuss on vacation I kindly decided to not go through the hassle of arguing my point with this man as to why I was singled out among about another hundred more individuals mostly not of color knowing the racial climate of Los Angeles California. But if I were to be asked if this was an experience that I enjoyed a definite no. We came here to escape from the same treatment at other establishments in Los Angeles in the past. In light of the racial bias in Los Angeles from it's less than perfect history I'd definitely recommend the Ritz Carlton for an event free experience as even your profession can be a burden on vacation at times definitely a warmer, smoother environment for all demographics to enjoy."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg189542d617491r576360430DanhostelHelsingorVandrerhjemHelsingoerHelsingoerMunicipalityCopenhagenReg.html,Date of stay: April 2018,Danhostel Helsingor Vandrerhjem,Europe,Denmark,Zealand,"Struer, Denmark",Horribly horribly beds and racial profiling,Beds are impossibly soft not suitable fro sleeping inStaff are very in your face and artificially polite.Officially there is free coffee but apparently only for Danes as they pretend not understand foreigners when they ask for it. Racial profiling!Breakfasts though is good and well stocked with gorgeous view.Avoid!
Hotel,https://www.tripadvisor.com/ShowUserReviewsg54448d103989r547681088QualityInnandSuitesSpartanburgSouthCarolina.html,Date of stay: December 2017,Quality Inn and Suites,United States,South Carolina SC,Spartanburg,unknown,Worst experience EVER!,"Let me say first that the property itself was fine. It was clean, comfortable and appropriate. However the staff was abominable and the worst treatment I have ever received at a hotel. There were racial slurs and threats issued. A call to corporate produced nothing but a polite ""So sorry."" Never will I stay at a Choice property again."
Hotel,https://www.tripadvisor.com/ShowUserReviewsg33146d7332897r623612756AloftSunnyvaleSunnyvaleCalifornia.html,Date of stay: July 2018,Aloft Sunnyvale,United States,California CA,Sunnyvale,unknown,The worst stay ever.  Racial comments by the staff.  Stay away!,"As a Platinum member, I tried this property for the first time. I arrived at the hotel at 1:30 PM, requested a room with two separate beds or at least a sofa to lounge around. I was told that if I am back at 3, they will have the room ready. I come back at 3 and they didn't have any room ready and there was a new receptionist who had no idea what i was talking about.  I was asked to come back in another 45 mins.  I come back and there is no room ready as housekeeping hasn't even started cleaning the assigned room for the past 2 hours and 15 mins. I then insisted on sending housekeeping to the room right at the moment, which the receptionist kept refusing and eventually agreed upon after such a long timeconsuming debate.  I went to the room, and the housekeeping is chilling in the room listening to music with zero sense of urgency. She spoke no English and called her boss over.  In the process, she called me a ""china"" just because I am Asian.  Racist much Totally unacceptable, offensive, inappropriate, unnecessary, and illegal.  The housekeeping supervisor arrived and starts AGGRESSIVELY yelling while not apologizing. After another round of long and exhausting argument, which should never happen in the first place, the supervisor agrees to clean the room with her staff and got the room ready by 4:30.  I was made to wait for 3 hours on a Saturday afternoon just for their lazy staff to coordinate and get the freaking room cleaned!!!  Plus the racial slur by the housekeeping staff.  This is such a ridiculous way of treating platinum members. The housekeeping supervisor said she will ask the general manager to contact me, but nobody reached out after over 2 weeks.  I logged a ticket on the SPG site which was ignored for months and 5 round of follow ups.  The GM reaches out offering no proper apology nor recognition of what happened, offers measly 9,000 points which he never even deposited and stopped responding.  Stay away from SPG properties, especially this one.  I was never treated by Hilton / Marriott this way."
